,year,title
45,2024,Evaluating Tools for Enhancing Reproducibility in Computational Scientific Experiments
46,2024,Towards Evidence-Based Software Quality Practices for Reproducibility: Practices and Aligned Software Qualities
47,2024,The Role and Applications of Artificial Intelligence in the Treatment of Chronic Pain.
48,2024,Haxe as a Swiss knife for bioinformatic applications: the SeqPHASE case story
49,2024,Microbial education plays a crucial role in harnessing the beneficial properties of microbiota for infectious disease protection in Crassostrea gigas
50,2024,CACTUS: Chemistry Agent Connecting Tool Usage to Science
51,2024,Seasonal covariations of diet-gut microbiota in the adaptation of the newly reintroduced Père David's deer (Elaphurus davidianus) to the northern habitat
52,2024,Massively scalable workflows for quantum chemistry: BigChem and ChemCloud.
53,2024,Ammonia transport in the excretory system of mosquito larvae (Aedes aegypti): Rh protein expression and the transcriptome of the rectum.
54,2024,The functional and structural characterisation of the bZIP transcription factors from Myristica fragrans Houtt. associated to plant disease-resistant defence: An insight from transcriptomics and computational modelling.
55,2024,Positive epistasis drives clavulanic acid resistance in double mutant libraries of BlaC β-lactamase
56,2024,Viash: A meta-framework for building reusable workflow modules
57,2024,Role of Transcriptomics in Precision Oncology
58,2023,La integración de los datos en el fútbol de élite. Un nuevo paradigma de investigación
59,2023,Benesh: a Framework for Choreographic Coordination of In Situ Workflows
60,2023,An Approach to Implementing High-Performance Computing for Problem Solving in Workflow-Based Energy Infrastructure Resilience Studies
61,2023,Next-Generation Sequencing for the Detection of Microbial Agents in Avian Clinical Samples
62,2023,Effects of microplastics on litter decomposition in wetland soil.
63,2023,"End-to-End Workflows for Climate Science: Integrating HPC Simulations, Big Data Processing, and Machine Learning"
64,2023,A qualitative assessment of using ChatGPT as large language model for scientific workflow development
65,2023,Identification of ascorbate- and salicylate-responsive miRNAs and verification of the spectral control of miR395 in Arabidopsis.
66,2023,Base-Excision Repair Mutational Signature in Two Sebaceous Carcinomas of the Eyelid
67,2023,Molecular Property Diagnostic Suite Compound Library (MPDS-CL): a structure-based classification of the chemical space
68,2023,Synaptopodin Regulates Denervation-Induced Plasticity at Hippocampal Mossy Fiber Synapses
69,2023,Structural Evolution of Gene Promoters Driven by Primate-Specific KRAB Zinc Finger Proteins
70,2023,Regulation of the somatotropic axis by MYC-mediated miRNA repression
71,2023,A new gene for autosomal dominant facial palsy/migraine identified in a family by whole exome sequencing
72,2023,Genome-based reclassification of Kitasatospora niigatensis as a later heterotypic synonym of Kitasatospora cineracea Tajima et al. (2001)
73,2023,Hypermedia-based software architecture enables Test-Driven Development
74,2023,Challenges and opportunities in sharing microbiome data and analyses
75,2023,Transcriptome-wide marker gene expression analysis of stress-responsive sulfate-reducing bacteria
76,2023,How do users design scientific workflows? The Case of Snakemake
77,2023,Population structure and genetic diversity of Streptococcus suis isolates obtained from the United States
78,2023,Reusability Challenges of Scientific Workflows: A Case Study for Galaxy
79,2023,Privacy-Preserving Linkage of Distributed Datasets using the Personal Health Train
80,2023,Self-demixing of mRNA copies buffers mRNA:mRNA and mRNA:regulator stoichiometries
81,2023,"Colorectal Cancer Archaeome: A Metagenomic Exploration, Tunisia"
82,2023,A decentralized prediction-based workflow load balancing architecture for cloud/fog/IoT environments
83,2023,Comparative Microbiome Analysis of Three Epidemiologically Important Tick Species in Latvia
84,2023,Addressing persistent challenges in digital image analysis of cancerous tissues
85,2023,Active Research Data Management with the Django Globus Portal Framework
86,2023,Reproducibility in Machine Learning-Driven Research
87,2023,Haematopoietic stem and progenitor cell heterogeneity is inherited from the embryonic endothelium
88,2023,Utility of the Python package Geoweaver_cwl for improving workflow reusability: an illustration with multidisciplinary use cases
89,2023,Melkersson–Rosenthal Syndrome and Migraine: A New Phenotype Associated with SCN1A Variants?
90,2023,Why We Need Open Data in Computer Science Education Research
91,2023,Towards Reproducible Execution of Closed-Source Applications from Internet Archives
92,2023,"Deletion of a Single Lysine Residue at Position 292 of CAMK2A Disrupts Protein Function, Causing Severe Epileptic Encephalopathy and Intellectual Disability"
93,2023,Scientific workflow execution in the cloud using a dynamic runtime model
94,2023,Identification by Exome Sequencing of Predisposing Variants in Familial Cases of Autoinflammatory Recurrent Fevers
95,2023,"Transcriptional repression by the histone tails in budding yeast is mediated by Rpd3, Tup1-Ssn6, and Bur6/NC2."
96,2023,Distinctly different gut microbiota in Japanese badgers and Japanese raccoon dogs despite sharing similar food habits and environments
97,2023,ACCT is a fast and accessible automatic cell counting tool using machine learning for 2D image segmentation
98,2023,Mir-183 functions as an oncogene via decreasing PTEN in breast cancer cells
99,2023,Disruption of fish gut microbiota composition and holobiont’s metabolome during a simulated Microcystis aeruginosa (Cyanobacteria) bloom
100,2023,Schistosoma haematobium and Schistosoma bovis first generation hybrids undergo large gene expressions remodeling consistent with species compatibility
101,2023,Spontaneously occurring tumors in different wild-derived strains of hydra
102,2023,Gut microbial signatures and their functions in Behcet's uveitis and Vogt-Koyanagi-Harada disease.
103,2023,Effect of Anthropogenic Disturbances on the Microbial Relationship during Bioremediation of Heavy Metal-Contaminated Sediment
104,2023,Galaxy for open-source computational drug discovery solutions
105,2023,Deep relationships between bacterial community and polycyclic aromatic hydrocarbons in soil profiles near typical coking plants
106,2023,Early-life stress and ovarian hormones alter transcriptional regulation in the nucleus accumbens resulting in sex-specific responses to cocaine
107,2023,transXpress: a Snakemake pipeline for streamlined de novo transcriptome assembly and annotation
108,2023,Expression of the primate-specific LINC00473 RNA in mouse neurons promotes excitability and CREB-regulated transcription
109,2023,A frame-shift mutation in COMTD1 is associated with impaired pheomelanin pigmentation in chicken
110,2023,The natural product chlorotonil A preserves colonization resistance and prevents relapsing Clostridioides difficile infection.
111,2023,Oral microbiome variations related to ageing: possible implications beyond oral health
112,2023,Multi class intracellular protein targeting predictions in diatoms and other algae with complex plastids: ASAFind 2.0
113,2023,"Uncovering the gastrointestinal passage, intestinal epithelial cellular uptake and AGO2 loading of milk miRNAs in neonates using xenomiRs as tracers."
114,2023,Overlapping Local and Systemic Defense Induced by an Oomycete Fatty Acid MAMP and Brown Seaweed Extract in Tomato
115,2023,Effect of deposit chemistry on microbial community structure and activity: Implications for under-deposit microbial corrosion
116,2023,A novel nematode species from the Siberian permafrost shares adaptive mechanisms for cryptobiotic survival with C. elegans dauer larva
117,2023,ScRNA-seq and ST-seq in liver research
118,2023,Diversity of the holopelagic Sargassum microbiome from the Great Atlantic Sargassum Belt to coastal stranding locations.
119,2023,Promoting Reproducibility and Integrity in Observational Research: One Approach of an Epidemiology Research Community
120,2023,Interaction between Illite and a Pseudomonas stutzeri-Heavy Oil Biodegradation Complex
121,2023,RADX Gene Variant May Predispose to Familial Asperger Syndrome
122,2023,A virulence activator of a surface attachment protein in Burkholderia pseudomallei acts as a global regulator of other membrane-associated virulence factors
123,2023,Towards a Unified User Interface for Visual Analysis of Retinal Data in Ophthalmology
124,2022,GENOMIC ANALYSIS TO ELUCIDATE THE ANTIBIOTIC RESISTANCE MECHANISM OF EXTREMELY DRUG-RESISTANT PSEUDOMONAS AERUGINOSA STRAINS ISOLATED FROM BANGLADESH
125,2022,Complex of Proline-Specific Peptidases in the Genome and Gut Transcriptomes of Tenebrionidae Insects and Their Role in Gliadin Hydrolysis
126,2022,DivBrowse—interactive visualization and exploratory data analysis of variant call matrices
127,2022,Data management strategy for a collaborative research center
128,2022,Maize domestication phenotypes reveal strigolactone networks coordinating grain size evolution with kernel-bearing cupule architecture.
129,2022,Alkaloid production and response to natural adverse conditions in Peganum harmala: in silico transcriptome analyses
130,2022,"Geographical distance, host evolutionary history and diet drive gut microbiome diversity of fish across the Yellow River"
131,2022,A Web-based Software Resource for Interactive Analysis of Multiplex Tissue Imaging Datasets
132,2022,Haplotypic variants of COVID‐19 related genes are associated with blood pressure and metabolites levels
133,2022,RNAlysis: analyze your RNA sequencing data without writing a single line of code
134,2022,Augmented lineage: traceability of data analysis including complex UDF processing
135,2022,Implementation of Workflow Engine on BRIN HPC Infrastructure
136,2022,Genomes of Vibrio metoecus co-isolated with Vibrio cholerae extend our understanding of differences between these closely related species
137,2022,A survey of the European Open Science Cloud services for expanding the capacity and capabilities of multidisciplinary scientific applications
138,2022,Whole exome sequencing identifies a rare variant in MAS1 gene in a subject with lethal COVID-19
139,2022,Chromatin localization of nucleophosmin organizes ribosome biogenesis
140,2022,Challenges of Provenance in Scientific Workflow Management Systems
141,2022,Genetic Characterization in Familial Rotator Cuff Tear: An Exome Sequencing Study
142,2022,Predicting yield traits of individual field-grown Brassica napus plants from rosette-stage leaf gene expression
143,2022,"CORAL: A framework for rigorous self-validated data modeling and integrative, reproducible data analysis"
144,2022,Basics on network theory to analyze biological systems: a hands-on outlook
145,2022,"Linking scientific instruments and computation: Patterns, technologies, and experiences"
146,2022,Unbiased prediction of off‐target sites in genome‐edited rice using SITE‐Seq analysis on a web‐based platform
147,2022,Enabling LivePublication
148,2022,Direct ITR-to-ITR nanopore sequencing of AAV vector genomes.
149,2022,Hematopoietic stem and progenitor cell heterogeneity is inherited from the embryonic hemogenic endothelium
150,2022,Assessment of mitochondrial DNA viability ratio in day-4 biopsied embryos as an add-in to select euploid embryos for single embryo transfer.
151,2022,saks-nf: A json solution for Nextflow pipeline construction
152,2022,A scalable framework for the discovery of functional helicase substrates and helicase-driven regulatory switches
153,2022,"Typical Enhancers, Super-Enhancers, and Cancers"
154,2022,"GlycAP, a glycoproteomic analysis platform for site-specific N-glycosylation research"
155,2022,MicroRNA-218 instructs proper assembly of hippocampal networks
156,2022,Globus Automation Services: Research process automation across the space-time continuum
157,2022,"GSA Central—A web platform to perform, learn, and discuss gene set analysis"
158,2022,Generation of synthetic antibody fragments with optimal complementarity determining region lengths for Notch-1 recognition
159,2022,Building an Open Representation for Biological Protocols
160,2022,Association Between Non-Suicidal Self-Injury and Gut Microbial Characteristics in Chinese Adolescent
161,2022,"Neuroscience Cloud Analysis As a Service: An open-source platform for scalable, reproducible data analysis"
162,2022,A taxonomy of tools and approaches for distributed genomic analyses
163,2022,Dissecting the invasion of Galleria mellonella by Yersinia enterocolitica reveals metabolic adaptations and a role of a phage lysis cassette in insect killing
164,2022,SciStream: Architecture and Toolkit for Data Streaming between Federated Science Instruments
165,2022,Reticulate Evolution in the Western Mediterranean Mountain Ranges: The Case of the Leucanthemopsis Polyploid Complex
166,2022,Genome Sequence Analysis and Characterization of Shiga Toxin 2 Production by Escherichia coli O157:H7 Strains Associated With a Laboratory Infection
167,2022,The Arabidopsis endosperm is a temperature-sensing tissue that implements seed thermoinhibition through phyB
168,2022,High-Resolution Mapping of Barley mild mosaic virus Resistance Gene rym15
169,2022,"Xanthomonas bonasiae sp. nov. and Xanthomonas youngii sp. nov., isolated from crown gall tissues."
170,2022,Diverse Host Plants of the First Instars of the Invasive Lycorma delicatula: Insights from eDNA Metabarcoding
171,2022,Function and dynamics of the Mediator complex: novel insights and new frontiers
172,2022,"BioExcel Building Blocks Workflows (BioBB-Wfs), an integrated web-based platform for biomolecular simulations"
173,2022,Challenges in Analyzing Functional Epigenetic Data in Perspective of Adolescent Psychiatric Health
174,2022,SparkFlow: Towards High-Performance Data Analytics for Spark-based Genome Analysis
175,2022,Genomic and Bioinformatic Resources for Perennial Fruit Species
176,2022,"Enabling Dynamic and Intelligent Workflows for HPC, Data Analytics, and AI Convergence"
177,2022,"Linking Scientific Instruments and HPC: Patterns, Technologies, Experiences"
178,2022,CRISPRs in the human genome are differentially expressed between malignant and normal adjacent to tumor tissue
179,2022,Transcriptome Profiling in the Marine Red Alga Neopyropia yezoensis Under Light/Dark Cycle
180,2022,Pathogenomes and variations in Shiga toxin production among geographically distinct clones of Escherichia coli O113:H21
181,2022,Multidrug resistance from a one health perspective in Ethiopia: A systematic review and meta-analysis of literature (2015–2020)
182,2022,Galaxy: A Decade of Realising CWFR Concepts
183,2022,Mashup: making serverless computing useful for HPC workflows via hybrid execution
184,2022,A hidden layer of structural variation in transposable elements reveals potential genetic modifiers in human disease-risk loci
185,2022,iNAP: An integrated network analysis pipeline for microbiome studies
186,2022,A collaborative semantic-based provenance management platform for reproducibility
187,2022,A Workflow Architecture for Cloud-based Distributed Simulation
188,2022,Juvenile hormone as a causal factor for maternal regulation of diapause in a wasp.
189,2022,Taxonomic Refinement of Xanthomonas arboricola.
190,2022,Global mapping of RNA G-quadruplexes (G4-RNAs) using G4RP-seq
191,2022,Glioblastoma stem cells express non‐canonical proteins and exclusive mesenchymal‐like or non‐mesenchymal‐like protein signatures
192,2022,Seaweeds influence oyster microbiota and disease susceptibility.
193,2022,A data management infrastructure for the integration of imaging and omics data in life sciences
194,2022,Structure-based knowledge acquisition from electronic lab notebooks for research data provenance documentation
195,2022,NGSEP 4: Efficient and Accurate Identification of Orthogroups and Whole-Genome Alignment
196,2022,Data Integration Challenges for Machine Learning in Precision Medicine
197,2022,Ribosome slowdown triggers codon‐mediated mRNA decay independently of ribosome quality control
198,2022,End-to-End provenance representation for the understandability and reproducibility of scientific experiments using a semantic approach
199,2022,"Inverting the model of genomics data sharing with the NHGRI Genomic Data Science Analysis, Visualization, and Informatics Lab-space"
200,2022,Identification of an Amylomaltase from the Halophilic Archaeon Haloquadratum walsbyi by Functional Metagenomics: Structural and Functional Insights
201,2022,Effects of Turning Frequency on Ammonia Emission during the Composting of Chicken Manure and Soybean Straw
202,2021,"SARS-CoV-2 Circulation, Guinea, March 2020–July 2021"
203,2021,BioImageIT: Open-source framework for integration of image data-management with analysis
204,2021,Transcriptome Analysis of Eucalyptus grandis Implicates Brassinosteroid Signaling in Defense Against Myrtle Rust (Austropuccinia psidii)
205,2021,"Reasons, challenges, and some tools for doing reproducible transportation research"
206,2021,Elevated loading rates as a low operational intensity and small land footprint design strategy to achieve partial nitritation
207,2021,Exploring DNA preservation and taxonomic diversity in postmedieval human tooth samples in Latvia
208,2021,"ProMetIS, deep phenotyping of mouse models by combined proteomics and metabolomics analysis"
209,2021,Tracking Systems Used to Monitor the Performance and Activity Profile in Elite Team Sports
210,2021,Hidden biases in germline structural variant detection
211,2021,The reproducibility of programming-related issues in Stack Overflow questions
212,2021,NGSpop: A desktop software that supports population studies by identifying sequence variations from next-generation sequencing data
213,2021,Whole‐exome sequencing and adrenocorticotropic hormone therapy in individuals with infantile spasms
214,2021,"Genomic, biochemical, and phylogenetic evaluation of bacteria isolated from deep-sea sediment harboring methane hydrates"
215,2021,User-friendly Composition of FAIR Workflows in a Notebook Environment
216,2021,"Self-inactivating, all-in-one AAV vectors for precision Cas9 genome editing via homology-directed repair in vivo"
217,2021,Using Genome Scale Mutant Libraries to Identify Essential Genes.
218,2021,Bioinformatics of Human Genetic Disease Studies
219,2021,Data Management
220,2021,Screening and Analysis of Potential Genes for DNA Damage Repair and Apoptotic Signal in iPSCs Based on CRISPR–Cas9 System
221,2021,Genetic landscape of T cells identifies synthetic lethality for T-ALL
222,2021,Transcriptome profiling of pepper leaves by RNA-Seq during an incompatible and a compatible pepper-tobamovirus interaction
223,2021,Album: a framework for scientific data processing with software solutions of heterogeneous tools
224,2021,The Arabidopsis mature endosperm promotes seedling cuticle formation via release of sulfated peptides.
225,2021,Pan-Genome of the Genus Streptomyces and Prioritization of Biosynthetic Gene Clusters With Potential to Produce Antibiotic Compounds
226,2021,"Reproducible, scalable, and shareable analysis pipelines with bioinformatics workflow managers"
227,2021,Reusing Interactive Analysis Workflows
228,2021,Disruption of fish gut microbiota composition and holobiont’s metabolome by cyanobacterial blooms
229,2021,Perspectives on automated composition of workflows in the life sciences
230,2021,Microbial characteristics of the leachate contaminated soil of an informal landfill site.
231,2021,Extreme Scale Survey Simulation with Python Workflows
232,2021,Demonstration of an aggregated biomarker response approach to assess the impact of point and diffuse contaminant sources in feral fish in a small river case study.
233,2021,Risk‐Based Wellhead Protection Decision Support: A Repeatable Workflow Approach
234,2021,Uptake of xenobiotic milk induces microRNA profile changes in the neonate intestine
235,2021,Toxin Induction or Inhibition of Transcription or Translation Posttreatment Increases Persistence to Fluoroquinolones
236,2021,Generating aptamers towards human sperm cells using massively parallel sequencing
237,2021,Laboratory Forensics for Open Science Readiness: an Investigative Approach to Research Data Management
238,2021,Impact of Dietary Isoflavone Supplementation on the Fecal Microbiota and Its Metabolites in Postmenopausal Women
239,2021,DOME: recommendations for supervised machine learning validation in biology
240,2021,PEGR: a flexible management platform for reproducible epigenomic and genomic research
241,2021,"Individual differences in members of Actinobacteria, Bacteroidetes, and Firmicutes is associated with resistance or vulnerability to addiction-like behaviors in heterogeneous stock rats"
242,2021,The gut microbiome is associated with cocaine behavior and predicts addiction vulnerability in adult male rats
243,2021,gmxapi: A GROMACS-native Python interface for molecular dynamics with ensemble and plugin support
244,2021,Refatorando um Pipeline de Bioinformática: Um Estudo de Caso para Análise de Amplicons
245,2021,Combining Genome-Wide Gene Expression Analysis (RNA-seq) and a Gene Editing Platform (CRISPR-Cas9) to Uncover the Selectively Pro-oxidant Activity of Aurone Compounds Against Candida albicans
246,2021,Experiences with Integrating Custos SecurityServices
247,2021,Oceanographic structure and seasonal variation contribute to high heterogeneity in mesozooplankton over small spatial scales
248,2021,The Practice of Ensuring Repeatable and Reproducible Computational Models
249,2021,"A Mechanically Transmitted DNA Mycovirus Is Targeted by the Defence Machinery of Its Host, Botrytis cinerea"
250,2021,A Data Centre Configurable Data Mining Document Management Information System
251,2021,Evidence of Immune Modulators in the Secretome of the Equine Tapeworm Anoplocephala perfoliata
252,2021,JetGene: Internet Resource for Analysis of Regulatory Regions or Nucleotide Contexts in Differentially Translated Plant Transcripts
253,2021,Duplication and Functional Divergence of Branched-Chain Amino Acid Biosynthesis Genes in Aspergillus nidulans
254,2021,Exploring the signature gut and oral microbiome in individuals of specific Ayurveda prakriti
255,2021,DIVIS: Integrated and Customizable Pipeline for Cancer Genome Sequencing Analysis and Interpretation
256,2021,STENCIL: A web templating engine for visualizing and sharing life science datasets
257,2021,Submucosal microbiome of peri‐implant sites: A cross‐sectional study
258,2021,Introduction to Freva – A Free Evaluation System Framework for Earth System Modeling
259,2021,Biostatistical prediction of genes essential for growth of Anaplasma phagocytophilum in a human promyelocytic cell line using a random transposon mutant library.
260,2021,Strategy for detecting off-target sites in genome-edited rice
261,2021,Multi-Omics Model Applied to Cancer Genetics
262,2021,Gut microbiota composition in health-care facility-and community-onset diarrheic patients with Clostridioides difficile infection
263,2021,Whole-Exome Analysis Reveals X-linked Recessive Mutations underlying Premature Ovarian Failure Using Galaxy Platform
264,2021,"Reasons, Challenges and Some Tools for Doing Reproducible Research in Transportation Research"
265,2021,Transient ribosome slowdown at the decoding step triggers mRNA degradation independent of Znf598 in zebrafish
266,2021,"The Independent and Shared Transcriptomic Response to UVA, UVB and Oxidative Stress in the Cyanobacterium Nostoc punctiforme ATCC 29133"
267,2021,Enteric mesenchymal cells support the growth of postnatal enteric neural stem cells
268,2021,No pre-zygotic isolation mechanisms between Schistosoma haematobium and Schistosoma bovis parasites: From mating interactions to differential gene expression
269,2021,Comparative Analysis of Traditional and Modern Fermentation for Xuecai and Correlations Between Volatile Flavor Compounds and Bacterial Community
270,2021,"A survey of domains in workflow scheduling in computing infrastructures: Community and keyword analysis, emerging trends, and taxonomies"
271,2021,"Inverting the model of genomics data sharing with the NHGRI Genomic Data Science Analysis, Visualization, and Informatics Lab-space (AnVIL)"
272,2021,Understanding experiments and research practices for reproducibility: an exploratory study
273,2021,"Identification and characterization of repetitive DNA in the genus Didelphis Linnaeus, 1758 (Didelphimorphia, Didelphidae) and the use of satellite DNAs as phylogenetic markers"
274,2021,Identification of new candidate genes for spina bifida through exome sequencing
275,2021,Nuclear localisation of West Nile virus NS5 protein modulates host gene expression.
276,2021,Executing cyclic scientific workflows in the cloud
277,2021,"cellxgene: a performant, scalable exploration platform for high dimensional sparse matrices"
278,2021,Skeletal muscle-specific Keap1 disruption modulates fatty acid utilization and enhances exercise capacity in female mice
279,2021,An efficient pattern-based approach for workflow supporting large-scale science: The DagOnStar experience
280,2021,Heat resistance and genomics of spoilage Alicyclobacillus spp. Isolated from fruit juice and fruit-based beverages.
281,2021,Semantic tools for development of high-level interactive applications for supercomputers
282,2021,Testcrosses are an efficient strategy for identifying cis-regulatory variation: Bayesian analysis of allele-specific expression (BayesASE)
283,2021,Freely accessible ready to use global infrastructure for SARS-CoV-2 monitoring
284,2021,Whole genome resequencing data enables a targeted SNP panel for conservation and aquaculture of Oreochromis cichlid fishes
285,2021,Host habitat is the major determinant of the gut microbiome of fish
286,2021,Epigenetic evidence of an Ac/Dc axis by VPA and SAHA
287,2021,Germline masculinization by Phf7 in D. melanogaster requires its evolutionarily novel C-terminus and the HP1-family protein HP1D3csd
288,2021,A diet-specific microbiota drives Salmonella Typhimurium to adapt its in vivo response to plant-derived substrates
289,2021,Polychlorinated biphenyls altered gut microbiome in CAR and PXR knockout mice exhibiting toxicant-associated steatohepatitis
290,2021,Methylation of rRNA as a host defense against rampant group II intron retrotransposition
291,2021,"Metabolic, Organoleptic and Transcriptomic Impact of Saccharomyces cerevisiae Genes Involved in the Biosynthesis of Linear and Substituted Esters"
292,2021,Cyanide Hydratase Modification Using Computational Design and Docking Analysis for Improved Binding Affinity in Cyanide Detoxification
293,2021,Differences in intestinal microbiota profiling after upper and lower gastrointestinal surgery
294,2021,An Assessment of Football Through the Lens of Data Science
295,2021,"Mineralosphere Microbiome Leading to Changed Geochemical Properties of Sedimentary Rocks from Aiqigou Mud Volcano, Northwest China"
296,2021,Fog-based architecture for scheduling multiple workflows with high availability requirement
297,2021,Temporal Dynamics of Chronic Inflammation on the Cecal Microbiota in IL-10-/- Mice
298,2021,A workflow language for research e-infrastructures
299,2021,GalaxyTrakr: a distributed analysis tool for public health whole genome sequence data accessible to non-bioinformaticians
300,2021,The Postmedieval Latvian Oral Microbiome in the Context of Modern Dental Calculus and Modern Dental Plaque Microbial Profiles
301,2021,Prediction and analysis of metagenomic operons via MetaRon: a pipeline for prediction of Metagenome and whole-genome opeRons
302,2021,Computational methods for the prediction of chromatin interaction and organization using sequence and epigenomic profiles
303,2021,Non-B DNA: a major contributor to small- and large-scale variation in nucleotide substitution frequencies across the genome
304,2021,Analysis of sex differences in dietary copper-fructose interaction-induced alterations of gut microbial activity in relation to hepatic steatosis
305,2021,HDAC inhibitors improve CRISPR-mediated HDR editing efficiency in iPSCs
306,2021,metaGEM: reconstruction of genome scale metabolic models directly from metagenomes
307,2021,Transcriptomics data availability and reusability in the transition from microarray to next-generation sequencing
308,2021,FOXO1 constrains activation and regulates senescence in CD8 T cells.
309,2021,Cloud Computing Enabled Big Multi-Omics Data Analytics
310,2020,A semi-automatic methodology for analysing distributed and private biobanks
311,2020,Interaction of preimplantation factor with the global bovine endometrial transcriptome
312,2020,Dietary DNA metabarcoding reveals seasonal trophic changes among three syntopic freshwater trout species
313,2020,Recovery of gut microbiota in mice exposed to tetracycline hydrochloride and their correlation with host metabolism
314,2020,Mutation in histone deacetylase HDA-3 leads to shortened locomotor healthspan in Caenorhabditis elegans
315,2020,Big data in biology: The hope and present-day challenges in it
316,2020,Initial oil concentration affects hydrocarbon biodegradation rates and bacterial community composition in seawater.
317,2020,Using single‐plant‐omics in the field to link maize genes to functions and phenotypes
318,2020,JetGene—Online Database and Toolkit for an Analysis of Regulatory Regions or Nucleotide Contexts at Differently Translated Plants Transcripts
