,year,title,abstract,Targeted organisms,Technical target,Methods,Topics
10,2022,iNAP: An integrated network analysis pipeline for microbiome studies,"Abstract Integrated network analysis pipeline (iNAP) is an online analysis pipeline for generating and analyzing comprehensive ecological networks in microbiome studies. It is implemented in two sections, that is, network construction and network analysis, and integrates many open‐access tools. Network construction contains multiple feasible alternatives, including correlation‐based approaches (Pearson's correlation and Spearman's rank correlation along with random matrix theory, and sparse correlations for compositional data) and conditional dependence‐based methods (extended local similarity analysis and sparse inverse covariance estimation for ecological association inference), while network analysis provides topological structures at different levels and the potential effects of environmental factors on network structures. Considering the full workflow, from microbiome data set to network result, iNAP contains the molecular ecological network analysis pipeline and interdomain ecological network analysis pipeline (IDENAP), which correspond to the intradomain and interdomain associations of microbial species at multiple taxonomic levels. Here, we describe the detailed workflow by taking IDENAP as an example and show the comprehensive steps to assist researchers to conduct the relevant analyses using their own data sets. Afterwards, some auxiliary tools facilitating the pipeline are introduced to effectively aid in the switch from local analysis to online operations. Therefore, iNAP, as an easy‐to‐use platform that provides multiple network‐associated tools and approaches, can enable researchers to better understand the organization of microbial communities. iNAP is available at http://mem.rcees.ac.cn:8081 with free registration.",Microbiome,Community (taxonomy) profiling,,Ecosystem Dynamics & Biodiversity
11,2022,Effects of Turning Frequency on Ammonia Emission during the Composting of Chicken Manure and Soybean Straw,"Here, we investigated the impact of different turning frequency (TF) on dynamic changes of N fractions, NH3 emission and bacterial/archaeal community during chicken manure composting. Compared to higher TF (i.e., turning every 1 or 3 days in CMS1 or CMS3 treatments, respectively), lower TF (i.e., turning every 5 or 7 days in CMS5 or CMS7 treatments, respectively) decreased NH3 emission by 11.42–18.95%. Compared with CMS1, CMS3 and CMS7 treatments, the total nitrogen loss of CMS5 decreased by 38.03%, 17.06% and 24.76%, respectively. Ammonia oxidizing bacterial/archaeal (AOB/AOA) communities analysis revealed that the relative abundance of Nitrosospira and Nitrososphaera was higher in lower TF treatment during the thermophilic and cooling stages, which could contribute to the reduction of NH3 emission. Thus, different TF had a great influence on NH3 emission and microbial community during composting. It is practically feasible to increase the abundance of AOB/AOA through adjusting TF and reduce NH3 emission the loss of nitrogen during chicken manure composting.","Bacteria, Archaea, Microbiome",Community (taxonomy) profiling,,Ecosystem Dynamics & Biodiversity
12,2021,Impact of Dietary Isoflavone Supplementation on the Fecal Microbiota and Its Metabolites in Postmenopausal Women,"Isoflavones are metabolized by components of the gut microbiota and can also modulate their composition and/or activity. This study aimed to analyze the modifications of the fecal microbial populations and their metabolites in menopausal women under dietary treatment with soy isoflavones for one month. Based on the level of urinary equol, the women had been stratified previously as equol-producers (n = 3) or as equol non-producers (n = 5). The composition of the fecal microbiota was assessed by high-throughput sequencing of 16S rRNA gene amplicons and the changes in fatty acid excretion in feces were analyzed by gas chromatography. A greater proportion of sequence reads of the genus Slackia was detected after isoflavone supplementation. Sequences of members of the family Lachnospiraceae and the genus Pseudoflavonifractor were significantly increased in samples from equol-producing women. Multivariable analysis showed that, after isoflavone treatment, the fecal microbial communities of equol producers were more like each other. Isoflavone supplementation increased the production of caproic acid, suggesting differential microbial activity, leading to a high fecal excretion of this compound. However, differences between equol producers and non-producers were not scored. These results may contribute to characterizing the modulating effect of isoflavones on the gut microbiota, which could lead to unravelling of their beneficial health effects.",Microbiome,Community (taxonomy) profiling,"Metabarcoding, Metabolomics",Health & Disease
13,2021,The gut microbiome is associated with cocaine behavior and predicts addiction vulnerability in adult male rats,"The gut-brain axis is a bi-directional communication system through which microbial communities in the gut interact with the nervous system, perhaps influencing neuropsychiatric disorders such as drug abuse. This study used behavioral data and biological samples from the Cocaine Biobank to test the hypothesis that the gut microbiota can predict and reflect susceptibility to cocaine reinforcement. Adult male heterogenous rats were catheterized and allowed to self-administer cocaine in short-access sessions (2 hr/day, 10 days, 0.5 mg/kg per intravenous infusion), followed by progressive ratio (PR) tests, long-access sessions (6 hr/day, 14 days), and alternating blocks of PR, long-access, and footshock testing. Fecal samples were collected at three time points and bacterial 16s rRNA genes were sequenced to profile the microbiota. As expected, cocaine-related behavior varied among subjects, such that a quartile split identified low and high responders on each measure, as well as an overall addiction index. Although beta diversity in the microbiota at baseline and after short access did not predict membership in high or low addiction quartiles, linear discriminant analysis (LDA) identified taxa that were more robustly represented in low or high responders. Beta diversity after long access was different among quartiles, as were several specific taxa. Investigation of baseline differences revealed that high relative abundance of Akkermansia muciniphila predicted future low response rates, whereas Ruminococcaceae predicted high response. This study is the first to report that microbiota variability reflects levels of cocaine intake and that microbial profiles might facilitate diagnosis and identify risk factors predictive of drug vulnerability. Significance Statement Microbial organisms inhabiting the gut of animals appear to influence organismal function through various signaling pathways, ultimately affecting behavior and disease vulnerability. This experiment investigates links between gut bacteria and vulnerability to addiction-related behaviors in adult male rats. Not only did gut bacterial profiles change as a result of cocaine intake but also gut bacterial profiles before any exposure to cocaine predicted which animals would be high or low addiction-prone individuals. These results suggest that microbial profiles might facilitate diagnosis and identify risk factors predictive of drug addiction.","Bacteria, Microbiome","Community (taxonomy) profiling, Functional analysis",Metabarcoding,"Ecosystem Dynamics & Biodiversity, Health & Disease"
14,2021,Submucosal microbiome of peri‐implant sites: A cross‐sectional study,"Abstract Aim To study the peri‐implant submucosal microbiome in relation to implant disease status, dentition status, smoking habit, gender, implant location, implant system, time of functional loading, probing pocket depth (PPD), and presence of bleeding on probing. Materials and Methods Biofilm samples were collected from the deepest peri‐implant site of 41 patients with paper points, and analysed using 16S rRNA gene pyrosequencing. Results We observed differences in microbial profiles by PPD, implant disease status, and dentition status. Microbiota in deep pockets included higher proportions of the genera Fusobacterium, Prevotella, and Anaeroglobus compared with shallow pockets that harboured more Rothia, Neisseria, Haemophilus, and Streptococcus. Peri‐implantitis (PI) sites were dominated by Fusobacterium and Treponema compared with healthy implants and peri‐implant mucositis, which were mostly colonized by Rothia and Streptococcus. Partially edentulous (PE) individuals presented more Fusobacterium, Prevotella, and Rothia, whereas fully edentulous individuals presented more Veillonella and Streptococcus. Conclusions PPD, implant disease status, and dentition status may affect the submucosal ecology leading to variation in composition of the microbiome. Deep pockets, PI, and PE individuals were dominated by Gram‐negative anaerobic taxa.","Bacteria, Microbiome","Community (taxonomy) profiling, Functional analysis",Metabarcoding,"Ecosystem Dynamics & Biodiversity, Health & Disease"
15,2021,Host habitat is the major determinant of the gut microbiome of fish,"Our understanding of the gut microbiota of animals is largely based on studies of mammals. To better understand the evolutionary basis of symbiotic relationships between animal hosts and indigenous microbes, it is necessary to investigate the gut microbiota of non-mammalian vertebrate species. In particular, fish have the highest species diversity among groups of vertebrates, with approximately 33,000 species. In this study, we comprehensively characterized gut bacterial communities in fish. We analyzed 227 individual fish representing 14 orders, 42 families, 79 genera, and 85 species. The fish gut microbiota was dominated by Proteobacteria (51.7%) and Firmicutes (13.5%), different from the dominant taxa reported in terrestrial vertebrates (Firmicutes and Bacteroidetes). The gut microbial community in fish was more strongly shaped by host habitat than by host taxonomy or trophic level. Using a machine learning approach trained on the microbial community composition or predicted functional profiles, we found that the host habitat exhibited the highest classification accuracy. Principal coordinate analysis revealed that the gut bacterial community of fish differs significantly from those of other vertebrate classes (reptiles, birds, and mammals). Collectively, these data provide a reference for future studies of the gut microbiome of aquatic animals as well as insights into the relationship between fish and their gut bacteria, including the key role of host habitat and the distinct compositions in comparison with those of mammals, reptiles, and birds. 2jWna3AEmgLMLS436bvUku Video Abstract Video Abstract","Bacteria, Microbiome","Community (taxonomy) profiling, Functional analysis",,Ecosystem Dynamics & Biodiversity
16,2021,"Mineralosphere Microbiome Leading to Changed Geochemical Properties of Sedimentary Rocks from Aiqigou Mud Volcano, Northwest China","The properties of rocks can be greatly affected by seepage hydrocarbons in petroleum-related mud volcanoes. Among them, the color of sedimentary rocks can reflect the changes of sedimentary environment and weathering history. However, little is known about the microbial communities and their biogeochemical significance in these environments. In this study, contrasting rock samples were collected from the Aiqigou mud volcano on the southern margin of the Junggar Basin in Northwest China as guided by rock colors indicative of redox conditions. The physicochemical properties and mineral composition are similar under the same redox conditions. For example, the content of chlorite, muscovite, quartz, and total carbon were higher, and the total iron was lower under reduced conditions compared with oxidized environments. High-throughput sequencing of 16S rRNA gene amplicons revealed that different functional microorganisms may exist under different redox conditions; microbes in oxidized conditions have higher diversity. Statistical analysis and incubation experiments indicated that the microbial community structure is closely related to the content of iron which may be an important factor for color stratification of continental sedimentary rocks in the Aiqigou mud volcano. The interactions between organics and iron-bearing minerals mediated by microorganisms have also been hypothesized.",Microbiome,"Community (taxonomy) profiling, Functional analysis, Interactome",Metabarcoding,Ecosystem Dynamics & Biodiversity
17,2021,The Postmedieval Latvian Oral Microbiome in the Context of Modern Dental Calculus and Modern Dental Plaque Microbial Profiles,"Recent advantages in paleomicrobiology have provided an opportunity to investigate the composition of ancient microbial ecologies. Here, using metagenome analysis, we investigated the microbial profiles of historic dental calculus retrieved from archaeological human remains from postmedieval Latvia dated 16–17th century AD and examined the associations of oral taxa and microbial diversity with specific characteristics. We evaluated the preservation of human oral microbiome patterns in historic samples and compared the microbial composition of historic dental calculus, modern human dental plaque, modern human dental calculus samples and burial soil microbiota. Overall, the results showed that the majority of microbial DNA in historic dental calculus originated from the oral microbiome with little impact of the burial environment. Good preservation of ancient DNA in historical dental calculus samples has provided reliable insight into the composition of the oral microbiome of postmedieval Latvian individuals. The relative stability of the classifiable oral microbiome composition was observed. Significant differences between the microbiome profiles of dental calculus and dental plaque samples were identified, suggesting microbial adaptation to a specific human body environment.","Archaea, Microbiome",Community (taxonomy) profiling,"(Meta)genomics, Metagenomics",Ecosystem Dynamics & Biodiversity
18,2021,Analysis of sex differences in dietary copper-fructose interaction-induced alterations of gut microbial activity in relation to hepatic steatosis,"Background Inadequate copper intake and increased fructose consumption represent two important nutritional problems in the USA. Dietary copper-fructose interactions alter gut microbial activity and contribute to the development of nonalcoholic fatty liver disease (NAFLD). The aim of this study is to determine whether dietary copper-fructose interactions alter gut microbial activity in a sex-differential manner and whether sex differences in gut microbial activity are associated with sex differences in hepatic steatosis. Methods Male and female weanling Sprague-Dawley (SD) rats were fed ad libitum with an AIN-93G purified rodent diet with defined copper content for 8 weeks. The copper content is 6 mg/kg and 1.5 mg/kg in adequate copper diet (CuA) and marginal copper diet (CuM), respectively. Animals had free access to either deionized water or deionized water containing 10% fructose (F) (w/v) as the only drink during the experiment. Body weight, calorie intake, plasma alanine aminotransferase, aspartate aminotransferase, and liver histology as well as liver triglyceride were evaluated. Fecal microbial contents were analyzed by 16S ribosomal RNA (16S rRNA) sequencing. Fecal and cecal short-chain fatty acids (SCFAs) were determined by gas chromatography-mass spectrometry (GC-MS). Results Male and female rats exhibit similar trends of changes in the body weight gain and calorie intake in response to dietary copper and fructose, with a generally higher level in male rats. Several female rats in the CuAF group developed mild steatosis, while no obvious steatosis was observed in male rats fed with CuAF or CuMF diets. Fecal 16S rRNA sequencing analysis revealed distinct alterations of the gut microbiome in male and female rats. Linear discriminant analysis (LDA) effect size (LEfSe) identified sex-specific abundant taxa in different groups. Further, total SCFAs, as well as, butyrate were decreased in a more pronounced manner in female CuMF rats than in male rats. Of note, the decreased SCFAs are concomitant with the reduced SCFA producers, but not correlated to hepatic steatosis. Conclusions Our data demonstrated sex differences in the alterations of gut microbial abundance, activities, and hepatic steatosis in response to dietary copper-fructose interaction in rats. The correlation between sex differences in metabolic phenotypes and alterations of gut microbial activities remains elusive.",Microbiome,Interactome,"Metabarcoding, (Meta)proteomics","Ecosystem Dynamics & Biodiversity, Health & Disease"
19,2021,metaGEM: reconstruction of genome scale metabolic models directly from metagenomes,"Advances in genome-resolved metagenomic analysis of complex microbial communities have revealed a large degree of interspecies and intraspecies genetic diversity through the reconstruction of metagenome assembled genomes (MAGs). Yet, metabolic modeling efforts still tend to rely on reference genomes as the starting point for reconstruction and simulation of genome scale metabolic models (GEMs), neglecting the immense intra- and inter-species diversity present in microbial communities. Here we present metaGEM (https://github.com/franciscozorrilla/metaGEM), an end-to-end highly scalable pipeline enabling metabolic modeling of multi-species communities directly from metagenomic samples. The pipeline automates all steps from the extraction of context-specific prokaryotic GEMs from metagenome assembled genomes to community level flux balance simulations. To demonstrate the capabilities of the metaGEM pipeline, we analyzed 483 samples spanning lab culture, human gut, plant associated, soil, and ocean metagenomes, to reconstruct over 14 000 prokaryotic GEMs. We show that GEMs reconstructed from metagenomes have fully represented metabolism comparable to the GEMs reconstructed from reference genomes. We further demonstrate that metagenomic GEMs capture intraspecies metabolic diversity by identifying the differences between pathogenicity levels of type 2 diabetes at the level of gut bacterial metabolic exchanges. Overall, our pipeline enables simulation-ready metabolic model reconstruction directly from individual metagenomes, provides a resource of all reconstructed metabolic models, and showcases community-level modeling of microbiomes associated with disease conditions allowing generation of mechanistic hypotheses.","Bacteria, Microbiome, Pathogen","Community (taxonomy) profiling, MAGs","(Meta)genomics, Metagenomics","Ecosystem Dynamics & Biodiversity, Health & Disease"
20,2020,Differential Gut Microbiota and Fecal Metabolites Related With the Clinical Subtypes of Myasthenia Gravis,"Myasthenia gravis (MG) is a devastating acquired autoimmune disease. Previous studies have observed that disturbances of gut microbiome may attribute to the development of MG through fecal metabolomic signatures in humans. However, whether there were differential gut microbial and fecal metabolomic phenotypes in different subtypes of MG remains unclear. Here, our objective was to explore whether the microbial and metabolic signatures of ocular (OMG) and generalized myasthenia gravis (GMG) were different, and further identify the shared and distinct markers for patients with OMG and GMG. In this study, 16S ribosomal RNA (rRNA) gene sequencing and gas chromatography-mass spectrometry (GC/MS) were performed to capture the microbial and metabolic signatures of OMG and GMG, respectively. Random forest (RF) classifiers was used to identify the discriminative markers for OMG and GMG. Compared with healthy control (HC) group, GMG group, but not OMG group, showed a significant decrease in α-phylogenetic diversity. Both OMG and GMG groups, however, displayed significant gut microbial and metabolic disorders. Totally, we identified 20 OTUs and 9 metabolites specific to OMG group, and 23 OTUs and 7 metabolites specific to GMG group. Moreover, combinatorial biomarkers containing 15 discriminative OTUs and 2 differential metabolites were capable of discriminating OMG and GMG from each other, as well as from HCs, with AUC values ranging from 0.934 to 0.990. In conclusion, different subtypes of MG harbored differential gut microbiota, which generated discriminative fecal metabolism.",Microbiome,"Community (taxonomy) profiling, Gene identification / Biomarker","Metabarcoding, (Meta)proteomics, Metabolomics","Ecosystem Dynamics & Biodiversity, Health & Disease"
21,2020,Clinical bioinformatics for microbial genomics and metagenomics: an ESCMID Postgraduate Technical Workshop.,,,,"(Meta)genomics, Metagenomics",Health & Disease
22,2020,Actinobacteria from Antarctica as a source for anticancer discovery,"Although many advances have been achieved to treat aggressive tumours, cancer remains a leading cause of death and a public health problem worldwide. Among the main approaches for the discovery of new bioactive agents, the prospect of microbial secondary metabolites represents an effective source for the development of drug leads. In this study, we investigated the actinobacterial diversity associated with an endemic Antarctic species, Deschampsia antarctica, by integrated culture-dependent and culture-independent methods and acknowledged this niche as a reservoir of bioactive strains for the production of antitumour compounds. The 16S rRNA-based analysis showed the predominance of the Actinomycetales order, a well-known group of bioactive metabolite producers belonging to the Actinobacteria phylum. Cultivation techniques were applied, and 72 psychrotolerant Actinobacteria strains belonging to the genera Actinoplanes, Arthrobacter, Kribbella, Mycobacterium, Nocardia, Pilimelia, Pseudarthrobacter, Rhodococcus, Streptacidiphilus, Streptomyces and Tsukamurella were identified. The secondary metabolites were screened, and 17 isolates were identified as promising antitumour compound producers. However, the bio-guided assay showed a pronounced antiproliferative activity for the crude extracts of Streptomyces sp. CMAA 1527 and Streptomyces sp. CMAA 1653. The TGI and LC50 values revealed the potential of these natural products to control the proliferation of breast (MCF-7), glioblastoma (U251), lung/non-small (NCI-H460) and kidney (786-0) human cancer cell lines. Cinerubin B and actinomycin V were the predominant compounds identified in Streptomyces sp. CMAA 1527 and Streptomyces sp. CMAA 1653, respectively. Our results suggest that the rhizosphere of D. antarctica represents a prominent reservoir of bioactive actinobacteria strains and reveals it as an important environment for potential antitumour agents.",Bacteria,"Isolate, Community (taxonomy) profiling","Metabarcoding, Metabolomics","Ecosystem Dynamics & Biodiversity, Health & Disease"
